horario,inscritos
16/05/2018 20:38:40,145
16/05/2018 20:42:16,146
16/05/2018 20:44:01,147
16/05/2018 20:44:49,148
16/05/2018 20:46:41,149
16/05/2018 20:46:52,150
16/05/2018 20:55:13,151
16/05/2018 20:55:23,152
16/05/2018 20:55:32,153
16/05/2018 20:55:48,154
16/05/2018 20:57:03,155
16/05/2018 20:58:29,156
16/05/2018 21:02:17,157
16/05/2018 21:04:49,158
16/05/2018 21:09:02,159
16/05/2018 21:12:18,160
16/05/2018 21:13:54,161
16/05/2018 21:15:25,162
16/05/2018 21:21:02,163
16/05/2018 21:24:03,164
16/05/2018 21:25:13,165
16/05/2018 21:28:17,166
16/05/2018 21:30:15,167
16/05/2018 21:31:21,168
16/05/2018 21:32:36,169
16/05/2018 21:37:10,170
16/05/2018 21:40:52,171
16/05/2018 21:43:20,172
16/05/2018 21:44:51,173
16/05/2018 21:46:51,174
16/05/2018 21:47:22,175
16/05/2018 21:47:24,176
16/05/2018 21:47:50,177
16/05/2018 21:52:17,178
16/05/2018 21:58:03,179
16/05/2018 21:59:04,180
16/05/2018 22:05:53,181
16/05/2018 22:11:21,182
16/05/2018 22:20:48,183
16/05/2018 22:22:25,184
16/05/2018 22:24:40,185
16/05/2018 22:29:27,186
16/05/2018 22:35:05,187
16/05/2018 22:41:22,188
16/05/2018 22:41:27,189
16/05/2018 22:42:47,190
16/05/2018 22:43:54,191
16/05/2018 22:44:10,192
16/05/2018 22:44:45,193
16/05/2018 22:46:01,194
16/05/2018 22:50:56,195
16/05/2018 23:08:07,196
16/05/2018 23:10:25,197
16/05/2018 23:32:20,198
16/05/2018 23:54:49,199
17/05/2018 00:19:22,200
17/05/2018 00:27:52,201
17/05/2018 00:35:42,202
17/05/2018 00:46:39,203
17/05/2018 00:59:01,204
17/05/2018 01:35:14,205
17/05/2018 02:32:23,206
17/05/2018 03:38:46,207
17/05/2018 07:40:46,208
17/05/2018 07:51:07,209
17/05/2018 08:01:46,210
17/05/2018 08:08:39,211
17/05/2018 08:15:08,212
17/05/2018 08:16:17,213
17/05/2018 08:16:59,214
17/05/2018 08:46:23,215
17/05/2018 08:46:26,216
17/05/2018 08:48:20,217
17/05/2018 09:07:08,218
17/05/2018 09:18:13,219
17/05/2018 09:30:59,220
17/05/2018 09:46:56,221
17/05/2018 09:52:26,222
17/05/2018 09:52:31,223
17/05/2018 09:59:10,224
17/05/2018 10:00:51,225
17/05/2018 10:06:36,226
17/05/2018 10:07:28,227
17/05/2018 10:16:13,228
17/05/2018 10:17:23,229
17/05/2018 11:01:07,230
17/05/2018 11:04:01,231
17/05/2018 11:07:03,232
17/05/2018 11:08:13,233
17/05/2018 11:09:09,234
17/05/2018 11:10:36,235
17/05/2018 11:15:07,236
17/05/2018 11:15:14,237
17/05/2018 11:24:10,238
17/05/2018 11:44:25,239
17/05/2018 11:48:35,240
17/05/2018 11:49:42,241
17/05/2018 12:01:53,242
17/05/2018 12:05:44,243
17/05/2018 12:17:10,244
17/05/2018 13:21:40,245
17/05/2018 13:23:19,246
17/05/2018 13:36:05,247
17/05/2018 13:45:36,248
17/05/2018 13:58:05,249
17/05/2018 13:59:12,250
17/05/2018 14:00:44,251
17/05/2018 14:02:18,252
17/05/2018 14:07:08,253
17/05/2018 14:09:40,254
17/05/2018 14:10:02,255
17/05/2018 14:17:53,256
17/05/2018 14:27:53,257
17/05/2018 14:29:06,258
17/05/2018 14:30:15,259
17/05/2018 14:33:13,260
17/05/2018 14:33:27,261
17/05/2018 14:34:21,262
17/05/2018 14:41:36,263
17/05/2018 14:46:29,264
17/05/2018 15:22:51,265
17/05/2018 16:41:09,266
17/05/2018 17:21:57,267
17/05/2018 17:22:07,268
17/05/2018 17:38:06,269
17/05/2018 17:59:27,270
17/05/2018 19:14:21,271
17/05/2018 19:16:26,272
17/05/2018 19:51:05,273
17/05/2018 20:00:56,274
17/05/2018 21:40:14,275
17/05/2018 21:41:54,276
17/05/2018 21:44:15,277
17/05/2018 21:46:38,278
17/05/2018 21:50:38,279
17/05/2018 22:03:21,280
17/05/2018 22:05:32,281
17/05/2018 22:12:25,282
17/05/2018 22:17:28,283
17/05/2018 22:41:08,284
17/05/2018 22:44:06,285
17/05/2018 22:45:10,286
17/05/2018 23:23:58,287
17/05/2018 23:24:48,288
17/05/2018 23:32:18,289
18/05/2018 00:26:36,290
18/05/2018 00:54:16,291
18/05/2018 05:27:23,292
18/05/2018 06:06:07,293
18/05/2018 08:43:21,294
