Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Time;Selecionado
2016.2;12/10/2016 23:40:13;14;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano;0;Desenvolvedor;Não;0;N
2016.2;13/10/2016 09:16:52;21;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;6º ano ou mais;0;Desenvolvedor;Não;6;S
2016.2;13/10/2016 09:08:09;23;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Não;0;N
2016.2;12/10/2016 21:07:03;32;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;14;S
2016.2;13/10/2016 13:49:50;41;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;14;S
2016.2;13/10/2016 18:04:31;48;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano;2;Desenvolvedor;Não;0;N
2016.2;12/10/2016 21:48:49;52;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Não;0;S
2016.2;14/10/2016 11:56:32;53;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;N
2016.2;12/10/2016 23:32:03;54;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;N
2016.2;12/10/2016 21:02:40;55;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Sim;0;S
2016.2;12/10/2016 21:21:57;58;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Não;0;S
2016.2;13/10/2016 02:55:18;62;M;Não USP;Bacharelado em Ciência da Computação;2º ano;0;Designer;Não;0;S
2016.2;12/10/2016 21:40:44;64;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Não;0;S
2016.2;12/10/2016 21:58:09;67;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;0;S
2016.2;14/10/2016 00:20:28;71;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;N
2016.2;12/10/2016 22:01:48;74;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Não;0;S
2016.2;13/10/2016 15:57:12;75;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;N
2016.2;12/10/2016 21:07:21;77;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;15;S
2016.2;13/10/2016 01:32:53;81;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;0;Desenvolvedor;Não;0;N
2016.2;14/10/2016 18:45:58;82;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano;0;Desenvolvedor;Sim;6;S
2016.2;17/10/2016 10:05:29;84;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Sim;6;S
2016.2;12/10/2016 22:06:59;86;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;6º ano ou mais;0;Desenvolvedor;Sim;4;S
2016.2;17/10/2016 18:31:54;100;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;6º ano ou mais;0;Desenvolvedor;Sim;6;S
2017.1;2017/07/19 9:20:41 PM ;8;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;22;S
2017.1;2017/07/20 9:08:15 PM ;11;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;3;S
2017.1;2017/07/19 9:30:46 PM ;15;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;7;S
2017.1;2017/07/19 9:25:19 PM ;18;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;2;Desenvolvedor;Não;0;S
2017.1;2017/07/19 9:26:47 PM ;20;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;0;S
2017.1;2017/07/19 9:30:38 PM ;23;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;22;S
2017.1;2017/07/22 9:31:34 AM ;24;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;0;S
2017.1;2017/07/20 8:56:25 PM ;25;M;Instituto de Matemática e Estatística (IME);Bacharelado em CIência da Computação;1° ano;0;Nenhuma;Não;0;S
2017.1;2017/07/19 9:32:34 PM ;26;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Negócios;Não;0;S
2017.1;2017/07/19 9:33:55 PM ;27;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5° ano ou mais;1;Desenvolvedor;Sim;4;S
2017.1;2017/07/19 9:25:36 PM ;33;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Não;7;S
2017.1;2017/07/19 9:14:21 PM ;37;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;15;S
2017.1;2017/07/19 9:10:54 PM ;38;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;15;S
2017.1;2017/07/19 9:08:09 PM ;41;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;16;S
2017.1;2017/07/19 9:04:48 PM ;47;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;18;S
