Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
2017/07/21 11:23:10 AM GMT-3;102;N;F;Escola Politécnica (Poli);Engenharia Naval;5° ano ou mais;1;Desenvolvedor;Sim;48, 102;19
2017/07/21 11:34:16 AM GMT-3;94;N;M;Instituto de Física (IF);Bacharelado em Física;4° ano;0;Desenvolvedor;Não;;0
2017/07/21 5:32:56 PM GMT-3;114;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
2017/07/21 7:03:28 PM GMT-3;68;N;?;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciências de Computação;3° ano;0;Desenvolvedor;Não;;0
2017/07/21 7:32:51 PM GMT-3;122;N;M;Faculdade de Direito (FD);Direito;5° ano ou mais;2;Desenvolvedor;Não;22, 122;11
2017/07/22 11:14:21 AM GMT-3;39;N;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1° ano;0;Negócios;Não;;0
2017/07/22 8:42:33 PM GMT-3;92;N;M;Escola de Comunicações e Artes (ECA);Mestrado em Ciência da Informação;Pós-graduação;2;Negócios;Não;;0
2017/07/22 9:31:34 AM GMT-3;24;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
2017/07/23 3:10:26 PM GMT-3;22;N;M;Faculdade de Direito (FD);Direito;4° ano;0;Negócios;Sim;22, 122;11
2017/07/23 9:46:29 PM GMT-3;84;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;5° ano ou mais;0;Desenvolvedor;Sim;;0
2017/07/24 4:46:17 AM GMT-3;87;N;?;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Negócios;Não;;0
2017/07/28 8:12:54 PM GMT-3;117;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Marketing;1° ano;0;Negócios;Não;;0
2017/07/28 8:19:46 PM GMT-3;108;N;?;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;Pós-graduação;0;Negócios;Não;;0
2017/08/01 1:58:57 PM GMT-3;116;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;8, 23, 70, 116;22
2017/08/01 2:39:17 PM GMT-3;9;S;M;Escola de Engenharia de São Carlos (EESC);Engenharia Elétrica;5° ano ou mais;0;Desenvolvedor;Não;;0
;5;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3° ano;1;Desenvolvedor;Sim;5, 88;21
